*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DIY Meshtastic PCB 30 pin horizontal
*Date=15:16:45
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
66;;;15.113;-42.2423;0;Bottom;Copper Fill53
67;;;39.1541;-49.0114;0;Bottom;Copper Fill66
68;;;2.6924;-57.4823;0;Bottom;Copper Fill25
69;;;59.4919;-21.8609;0;Bottom;Via59
70;;;79.2734;-1.6023;0;Bottom;Copper Fill47
71;;;7.47846;-54.6163;0;Bottom;TXT2
72;;;34.0741;-7.584;0;Bottom;Copper Fill41
73;;;2.8448;-39.7023;0;Bottom;Copper Fill43
74;;;50.0888;-38.3942;0;Bottom;Copper Fill29
75;;;3.5941;-56.606;0;Bottom;Copper Fill24
76;;;15.113;-54.8915;0;Bottom;Copper Fill59
77;;;8.89959;-29.1004;90;Bottom;TXT5
78;;SIP (Single Inline) [THT];35.3619;-6.62095;90;Bottom;button
79;;;45.339;-33.0856;0;Bottom;Copper Fill32
80;;;11.2141;-26.2022;0;Bottom;Copper Fill39
81;;cpol-radial-100uf-25v;86.1619;-6.62095;0;Bottom;C7
82;;;50.7238;-19.3823;0;Bottom;Copper Fill34
83;;;84.8741;-7.4062;0;Bottom;Copper Fill7
84;;;45.6184;-40.9342;0;Bottom;Copper Fill28
85;;;82.2834;-33.3541;90;Bottom;TXT2
86;100nF;100 mil [THT, multilayer];4.87715;-49.8009;0;Bottom;C8
87;;;69.6519;-14.2409;0;Bottom;Via60
88;;;84.729;-40.6401;0;Bottom;TXT1
89;;;64.6169;-31.8728;0;Bottom;ESP32 Devkit (30-pin)1
90;;;16.7386;-24.4623;0;Bottom;Copper Fill45
91;;;83.7946;-35.2446;0;Bottom;Copper Fill2
92;;;80.264;-1.6023;0;Bottom;Copper Fill22
93;;SIP (Single Inline) [THT];84.8919;-33.2909;0;Bottom;GNSS
94;;;5.51053;-43.7402;0;Bottom;TXT5
95;;;2.794;-49.8623;0;Bottom;Copper Fill72
96;;;54.4119;-21.8609;0;Bottom;Via58
97;;;3.5941;-58.384;0;Bottom;Copper Fill76
98;;;59.4919;-14.2409;0;Bottom;Via61
99;;;39.1541;-55.717;0;Bottom;Copper Fill55
100;;;41.7119;-39.6409;0;Bottom;Via55
101;;;10.414;-27.0023;0;Bottom;Copper Fill40
102;;;16.7386;-49.8115;0;Bottom;Copper Fill71
103;;;84.8233;-16.0676;0;Bottom;Copper Fill15
104;;;39.9542;-24.4623;0;Bottom;Copper Fill63
105;;;15.9385;-43.0678;0;Bottom;Copper Fill52
106;100nF;100 mil [THT, multilayer];86.1572;-16.7809;0;Bottom;C6
107;;;47.4218;-52.034;0;Bottom;Copper Fill27
108;;;45.2882;-17.8202;0;Bottom;Copper Fill4
109;;;79.8119;-1.54095;0;Bottom;Via63
110;;;84.8233;-17.6424;0;Bottom;Copper Fill48
111;;;35.2295;-9.74231;0;Bottom;TXT1
112;;;81.1276;-53.939;0;Bottom;Copper Fill1
